,index_content,word,nature,content_type,index_word
2674,201,一流,n,pos,2
2676,201,双人,n,pos,3
2685,202,声明,n,pos,2
2691,202,通传,vn,pos,4
2697,203,若智,nr,pos,1
2705,203,企业,n,pos,2
2711,204,丁真,nr,pos,2
2717,205,狗,n,pos,3
2735,205,狗,n,pos,8
2743,205,办法,n,pos,11
2751,205,办法,n,pos,15
2757,205,垃圾堆,n,pos,17
2759,205,大伙,n,pos,18
2761,205,乐意,n,pos,19
2763,205,狗,n,pos,21
2771,206,浙大,ns,pos,4
2773,206,冷处理,nr,pos,5
2776,206,事情,n,pos,6
2787,206,网友,n,pos,9
2790,206,目标,n,pos,11
2796,206,冷处理,nr,pos,12
2797,207,话,n,pos,1
2806,207,河大,ns,pos,4
2809,207,毕业证,n,pos,5
2811,208,感觉,n,pos,1
2816,208,情况,n,pos,3
2822,209,尾巴,n,pos,1
2823,209,毛绒绒,nr,pos,2
2825,209,毛绒绒,nr,pos,3
2829,210,家门,n,pos,1
2831,210,毕业生,n,pos,3
2836,211,事,n,pos,2
2844,211,部门,n,pos,5
2850,211,张薇,nr,pos,7
2851,211,栽赃,vn,pos,8
2857,211,社会,n,pos,10
2861,211,事,n,pos,11
2865,211,过度,n,pos,13
2867,213,企业,n,pos,1
2869,213,证明,n,pos,2
2875,213,企业,n,pos,5
2880,213,企业,n,pos,6
2882,213,收话,n,pos,7
2887,213,企业,n,pos,9
2891,214,四川,ns,pos,2
2892,214,耙,n,pos,3
2893,214,耳朵,n,pos,4
2896,214,上海,ns,pos,5
2898,214,男人,n,pos,6
2906,215,研究生,n,pos,4
2910,215,友,ng,pos,7
2927,216,态度恶劣,n,pos,3
2929,216,实质,n,pos,4
2932,216,道德,nr,pos,5
2934,216,素质,n,pos,6
2938,216,党,n,pos,8
2941,216,除籍,n,pos,10
2945,216,处分,n,pos,11
2949,216,档案,n,pos,13
2952,216,公职,n,pos,15
2956,216,政审,n,pos,16
2962,216,违法,vn,pos,18
2966,216,上学,n,pos,20
2968,216,大学,n,pos,21
2970,216,人品,n,pos,23
2982,216,互联网,n,pos,28
2983,216,记忆,n,pos,29
2988,216,治安,ns,pos,32
2999,216,性别,n,pos,35
3007,217,档,n,pos,2
3010,217,生,vn,pos,5
3011,218,川南,ns,pos,1
3019,220,热度,n,pos,2
3030,222,惩罚,vn,pos,2
3037,223,感觉,n,pos,1
3040,223,狼,n,pos,2
3046,223,女生,n,pos,4
3052,223,权益,n,pos,8
3053,223,事情,n,pos,9
3071,224,热度,n,pos,3
3072,225,加大力度,ns,pos,1
3078,227,手,n,pos,1
3079,227,账号,n,pos,2
3082,228,男,n,pos,1
3088,228,厕所,n,pos,3
3093,228,体育,vn,pos,5
3097,228,阿三哥,nr,pos,7
3103,228,怨言,n,pos,9
3107,229,党籍,n,pos,1
3118,229,民营企业,n,pos,5
3125,231,巡视组,n,pos,1
3133,232,脚,n,pos,3
3136,233,老师,n,pos,1
3137,233,学生,n,pos,2
3138,233,蛇鼠,n,pos,3
3140,233,窝,n,pos,4
3146,234,全校学生,n,pos,1
3147,234,买单,n,pos,2
3152,234,转校,n,pos,4
3157,235,香槟,n,pos,3
3160,236,住嘴,n,pos,2
3163,236,心,n,pos,5
3166,236,热度,n,pos,6
3167,236,影响,vn,pos,7
3181,237,网暴,n,pos,2
3183,238,社会,n,pos,2
3195,240,张家,nrfg,pos,2
3208,240,企鹅,n,pos,6
3216,240,玩意儿,n,pos,8
3222,240,党员,n,pos,11
3223,240,事儿,n,pos,12
3246,241,屁,n,pos,8
3249,242,节奏,n,pos,1
3255,243,公司,n,pos,1
3258,243,公告,n,pos,3
3262,243,私下,n,pos,4
3268,243,公告,n,pos,7
3273,243,流量,n,pos,11
3274,244,太典,ns,pos,1
3281,244,脑子,n,pos,3
3286,244,事,n,pos,4
3289,244,方法,n,pos,5
3295,244,互联网,n,pos,8
3296,244,记忆,n,pos,9
3308,244,嫌事,n,pos,12
3313,245,张伟,nr,pos,1
3314,245,同学,n,pos,2
3327,246,垃圾,n,pos,1
3328,246,公司,n,pos,2
3331,247,耻辱,n,pos,1
3341,248,脸,n,pos,4
3351,248,官媒,n,pos,9
3355,248,地步,n,pos,11
3356,248,大学,n,pos,12
3360,249,阿猫阿狗,nr,pos,1
3364,249,瓷,ng,pos,3
3376,250,投,vn,pos,2
3378,250,垃圾场,n,pos,3
3381,251,麻烦,an,pos,1
3391,251,杆子,n,pos,5
3393,251,样子,n,pos,7
3397,251,环境,n,pos,9
3410,251,立场,n,pos,13
3415,251,事情,n,pos,15
3420,252,处,n,pos,1
3436,252,质量,n,pos,4
3438,253,感觉,n,pos,1
3441,253,热度,n,pos,4
3443,255,答案,n,pos,1
3445,255,屁事,n,pos,2
3448,255,学校,n,pos,3
3449,255,质量,n,pos,4
3454,256,格局,n,pos,1
3461,256,姓张,n,pos,4
3462,256,和名薇,nr,pos,5
3463,256,学生,n,pos,6
3467,257,锅汤,n,pos,2
